count,count_norm,parent,tax_rank,tax_color,avg,taxon,tax_name
41779,1003217,0,root,,,1,root
41645,1000000,131567,superkingdom,,,2,Bacteria
21,504,91347,family,,,543,Enterobacteriaceae
8,192,543,genus,,,570,Klebsiella
8,192,570,species,,,571,Klebsiella oxytoca
13,312,543,genus,,,579,Kluyvera
4052,97298,171549,family,,,815,Bacteroidaceae
4052,97298,815,genus,,,816,Bacteroides
1289,30952,816,species,,,821,Bacteroides vulgatus
471,11309,375288,species,,,823,Parabacteroides distasonis
3,72,204431,genus,,,832,Fibrobacter
9340,224276,186803,genus,,,841,Roseburia
769,18465,216851,species,,,853,Faecalibacterium prausnitzii
43,1032,194924,genus,,,872,Desulfovibrio
8,192,909930,genus,,,904,Acidaminococcus
8,192,904,species,,,905,Acidaminococcus fermentans
6850,164485,68336,phylum,e65848,,976,Bacteroidetes
265,6363,2,phylum,2ab69d,,1224,Proteobacteria
21,504,1224,class,,,1236,Gammaproteobacteria
33205,797334,2,phylum,5E6591,,1239,Firmicutes
3,72,81850,genus,,,1243,Leuconostoc
2347,56357,31979,genus,,,1266,Sarcina
65,1560,186826,family,,,1300,Streptococcaceae
61,1464,1300,genus,,,1301,Streptococcus
43,1032,1301,species,,,1308,Streptococcus thermophilus
4,96,1300,genus,,,1357,Lactococcus
4,96,91061,order,,,1385,Bacillales
303,7275,31979,genus,,,1485,Clostridium
80,1920,33958,genus,,,1578,Lactobacillus
5,120,31953,genus,,,1678,Bifidobacterium
1036,24876,201174,class,,,1760,Actinobacteria
5,120,186333,genus,,,2152,Asteroleplasma
134,3217,131567,superkingdom,,,2157,Archaea
115,2761,183925,order,,,2158,Methanobacteriales
115,2761,2158,family,,,2159,Methanobacteriaceae
115,2761,2159,genus,,,2172,Methanobrevibacter
115,2761,2172,species,,,2173,Methanobrevibacter smithii
50,1200,186807,genus,,,2740,Peptococcus
974,23388,186803,genus,,,28050,Lachnospira
28,672,283168,species,,,28118,Odoribacter splanchnicus
14,336,1224,class,,,28211,Alphaproteobacteria
64,1536,1224,class,,,28216,Betaproteobacteria
166,3986,68525,class,,,28221,Deltaproteobacteria
134,3217,2157,phylum,,,28890,Euryarchaeota
5,120,85004,family,,,31953,Bifidobacteriaceae
5,120,544448,class,,,31969,Mollicutes
299,7179,909929,family,,,31977,Veillonellaceae
2821,67739,186802,family,,,31979,Clostridiaceae
72,1728,186803,genus,,,31980,Acetitomaculum
52,1248,909930,genus,,,33024,Phascolarctobacterium
52,1248,33024,species,,,33025,Phascolarctobacterium faecium
313,7515,186826,family,,,33958,Lactobacillaceae
123,2953,194924,genus,,,35832,Bilophila
9,216,1505652,species,,,36841,Terrisporobacter glycolicus
194,4658,189330,species,,,39486,Dorea formicigenerans
296,7107,31977,genus,,,39948,Dialister
13,312,995019,genus,,,40544,Sutterella
14,336,204441,family,,,41295,Rhodospirillaceae
2,48,541000,genus,,,44748,Sporobacter
859,20626,186803,genus,,,46205,Pseudobutyrivibrio
400,9604,375288,species,,,46503,Parabacteroides merdae
128,3073,816,species,,,47678,Bacteroides caccae
117,2809,203494,order,,,48461,Verrucomicrobiales
201,4826,200644,family,,,49546,Flavobacteriaceae
233,5594,2,superphylum,,,51290,Chlamydiae/Verrucomicrobia group
4,96,128827,genus,,,61170,Holdemania
4,96,61170,species,,,61171,Holdemania filiformis
3,72,131550,phylum,,,65842,Fibrobacteres
11,264,186801,order,,,68295,Thermoanaerobacterales
6850,164485,2,superphylum,,,68336,Bacteroidetes/Chlorobi group
166,3986,1224,subphylum,,,68525,delta/epsilon subdivisions
124,2977,51290,phylum,fdc536,,74201,Verrucomicrobia
64,1536,28216,order,,,80840,Burkholderiales
3,72,186826,family,,,81850,Leuconostocaceae
1031,24756,255727,family,,,84107,Coriobacteriaceae
1031,24756,1760,subclass,,,84998,Coriobacteridae
1031,24756,84998,order,,,84999,Coriobacteriales
5,120,1760,subclass,,,85003,Actinobacteridae
5,120,85003,order,,,85004,Bifidobacteriales
4,96,816,species,,,85831,Bacteroides acidifaciens
603,14479,572511,species,,,89014,Blautia luti
522,12534,1239,class,,,91061,Bacilli
21,504,1236,order,,,91347,Enterobacteriales
1014,24348,84107,genus,,,102106,Collinsella
6,144,1017280,species,,,106588,Pseudoflavonifractor capillosus
201,4826,976,class,,,117743,Flavobacteriia
65,1560,541000,genus,,,119852,Oscillospira
170,4082,526525,family,,,128827,Erysipelotrichaceae
3,72,2,superphylum,,,131550,Fibrobacteres/Acidobacteria group
41779,1003217,1,no_rank,,,131567,cellular organisms
19,456,128827,genus,,,135858,Catenibacterium
