"","count","count_norm","parent","tax_rank","tax_color","avg","taxon","tax_name"
"ubiome_bacteriacounts.1",10034,1007329,0,"root",NA,NA,1,"root"
"ubiome_bacteriacounts.2",9961,1000000,131567,"superkingdom",NA,NA,2,"Bacteria"
"ubiome_bacteriacounts.3",4,402,135621,"genus",NA,NA,10,"Cellvibrio"
"ubiome_bacteriacounts.4",2209,221765,72274,"family",NA,NA,468,"Moraxellaceae"
"ubiome_bacteriacounts.5",2144,215239,468,"genus",NA,NA,475,"Moraxella"
"ubiome_bacteriacounts.6",1805,181207,46225,"species",NA,NA,478,"Moraxella nonliquefaciens"
"ubiome_bacteriacounts.7",20,2008,46226,"species",NA,NA,480,"Moraxella catarrhalis"
"ubiome_bacteriacounts.8",56,5622,206351,"family",NA,NA,481,"Neisseriaceae"
"ubiome_bacteriacounts.9",56,5622,481,"genus",NA,NA,482,"Neisseria"
"ubiome_bacteriacounts.10",2,201,171549,"family",NA,NA,815,"Bacteroidaceae"
"ubiome_bacteriacounts.11",2,201,815,"genus",NA,NA,816,"Bacteroides"
"ubiome_bacteriacounts.12",7,703,216851,"species",NA,NA,853,"Faecalibacterium prausnitzii"
"ubiome_bacteriacounts.13",2,201,68336,"phylum","e65848",NA,976,"Bacteroidetes"
"ubiome_bacteriacounts.14",2302,231101,2,"phylum","2ab69d",NA,1224,"Proteobacteria"
"ubiome_bacteriacounts.15",2229,223773,1224,"class",NA,NA,1236,"Gammaproteobacteria"
"ubiome_bacteriacounts.16",1669,167553,2,"phylum","5E6591",NA,1239,"Firmicutes"
"ubiome_bacteriacounts.17",407,40859,90964,"genus",NA,NA,1279,"Staphylococcus"
"ubiome_bacteriacounts.18",5,502,1279,"species",NA,NA,1280,"Staphylococcus aureus"
"ubiome_bacteriacounts.19",402,40357,1279,"species",NA,NA,1281,"Staphylococcus carnosus"
"ubiome_bacteriacounts.20",18,1807,186826,"family",NA,NA,1300,"Streptococcaceae"
"ubiome_bacteriacounts.21",18,1807,1300,"genus",NA,NA,1301,"Streptococcus"
"ubiome_bacteriacounts.22",503,50497,91061,"order",NA,NA,1385,"Bacillales"
"ubiome_bacteriacounts.23",96,9638,186817,"genus",NA,NA,1386,"Bacillus"
"ubiome_bacteriacounts.24",4336,435298,85007,"family",NA,NA,1653,"Corynebacteriaceae"
"ubiome_bacteriacounts.25",4046,406184,1653,"genus",NA,NA,1716,"Corynebacterium"
"ubiome_bacteriacounts.26",4532,454974,201174,"class",NA,NA,1760,"Actinobacteria"
"ubiome_bacteriacounts.27",4373,439012,85003,"order",NA,NA,2037,"Actinomycetales"
"ubiome_bacteriacounts.28",1419,142456,2,"no_rank",NA,NA,2323,"unclassified Bacteria"
"ubiome_bacteriacounts.29",73,7329,1,"no_rank",NA,NA,12908,"unclassified sequences"
"ubiome_bacteriacounts.30",7,703,80864,"genus",NA,NA,28065,"Rhodoferax"
"ubiome_bacteriacounts.31",63,6325,1224,"class",NA,NA,28216,"Betaproteobacteria"
"ubiome_bacteriacounts.32",8,803,68525,"class",NA,NA,28221,"Deltaproteobacteria"
"ubiome_bacteriacounts.33",653,65556,186828,"genus",NA,NA,29393,"Dolosigranulum"
"ubiome_bacteriacounts.34",89,8935,29393,"species",NA,NA,29394,"Dolosigranulum pigrum"
"ubiome_bacteriacounts.35",13,1305,186802,"family",NA,NA,31979,"Clostridiaceae"
"ubiome_bacteriacounts.36",56,5622,482,"species",NA,NA,34026,"Neisseria flava"
"ubiome_bacteriacounts.37",2,201,85020,"genus",NA,NA,36739,"Dermabacter"
"ubiome_bacteriacounts.38",209,20982,1716,"species",NA,NA,37637,"Corynebacterium pseudodiphtheriticum"
"ubiome_bacteriacounts.39",2,201,36739,"species",NA,NA,37640,"Dermabacter sp."
"ubiome_bacteriacounts.40",35,3514,85029,"genus",NA,NA,37914,"Dietzia"
"ubiome_bacteriacounts.41",3038,304989,1716,"species",NA,NA,38287,"Corynebacterium fastidiosum"
"ubiome_bacteriacounts.42",228,22889,1716,"species",NA,NA,38304,"Corynebacterium tuberculostearicum"
"ubiome_bacteriacounts.43",9,904,572511,"species",NA,NA,40520,"[Ruminococcus] obeum"
"ubiome_bacteriacounts.44",5,502,1280,"subspecies",NA,NA,46170,"Staphylococcus aureus subsp. aureus"
"ubiome_bacteriacounts.45",1985,199277,475,"subgenus",NA,NA,46225,"Moraxella"
"ubiome_bacteriacounts.46",20,2008,475,"subgenus",NA,NA,46226,"Branhamella"
"ubiome_bacteriacounts.47",1419,142456,2323,"no_rank",NA,NA,49928,"unclassified Bacteria (miscellaneous)"
"ubiome_bacteriacounts.48",37,3714,2,"superphylum",NA,NA,51290,"Chlamydiae/Verrucomicrobia group"
