count,count_norm,parent,tax_rank,tax_color,avg,taxon,tax_name
85531,1003884,0,root,,,1,root
85200,1000000,131567,superkingdom,,,2,Bacteria
296,3474,91347,family,,,543,Enterobacteriaceae
296,3474,543,genus,,,579,Kluyvera
7942,93215,171549,family,,,815,Bacteroidaceae
7942,93215,815,genus,,,816,Bacteroides
6,70,816,species,,,818,Bacteroides thetaiotaomicron
2080,24413,816,species,,,821,Bacteroides vulgatus
318,3732,375288,species,,,823,Parabacteroides distasonis
6,70,204431,genus,,,832,Fibrobacter
2,23,171552,genus,,,838,Prevotella
15157,177899,186803,genus,,,841,Roseburia
10574,124107,216851,species,,,853,Faecalibacterium prausnitzii
63,739,194924,genus,,,872,Desulfovibrio
12,140,909930,genus,,,904,Acidaminococcus
12,140,904,species,,,905,Acidaminococcus fermentans
2,23,31977,genus,,,906,Megasphaera
5,58,75682,genus,,,963,Herbaspirillum
11879,139424,68336,phylum,e65848,,976,Bacteroidetes
897,10528,2,phylum,2ab69d,,1224,Proteobacteria
296,3474,1224,class,,,1236,Gammaproteobacteria
65275,766138,2,phylum,5E6591,,1239,Firmicutes
3673,43110,31979,genus,,,1266,Sarcina
290,3403,186826,family,,,1300,Streptococcaceae
287,3368,1300,genus,,,1301,Streptococcus
233,2734,1301,species,,,1308,Streptococcus thermophilus
2,23,1301,species,,,1311,Streptococcus agalactiae
3,35,1300,genus,,,1357,Lactococcus
14,164,91061,order,,,1385,Bacillales
287,3368,31979,genus,,,1485,Clostridium
25,293,33958,genus,,,1578,Lactobacillus
3,35,2049,genus,,,1654,Actinomyces
134,1572,31953,genus,,,1678,Bifidobacterium
8,93,186806,genus,,,1730,Eubacterium
4550,53403,201174,class,,,1760,Actinobacteria
3,35,85003,order,,,2037,Actinomycetales
3,35,85005,family,,,2049,Actinomycetaceae
2,23,186333,genus,,,2152,Asteroleplasma
331,3884,131567,superkingdom,,,2157,Archaea
321,3767,183925,order,,,2158,Methanobacteriales
321,3767,2158,family,,,2159,Methanobacteriaceae
321,3767,2159,genus,,,2172,Methanobrevibacter
321,3767,2172,species,,,2173,Methanobrevibacter smithii
59,692,186807,genus,,,2740,Peptococcus
1083,12711,186803,genus,,,28050,Lachnospira
59,692,283168,species,,,28118,Odoribacter splanchnicus
2,23,838,species,,,28127,Prevotella buccalis
109,1279,1224,class,,,28211,Alphaproteobacteria
288,3380,1224,class,,,28216,Betaproteobacteria
204,2394,68525,class,,,28221,Deltaproteobacteria
331,3884,2157,phylum,,,28890,Euryarchaeota
134,1572,85004,family,,,31953,Bifidobacteriaceae
4,46,544448,class,,,31969,Mollicutes
157,1842,909929,family,,,31977,Veillonellaceae
4558,53497,186802,family,,,31979,Clostridiaceae
91,1068,186803,genus,,,31980,Acetitomaculum
187,2194,909930,genus,,,33024,Phascolarctobacterium
187,2194,33024,species,,,33025,Phascolarctobacterium faecium
269,3157,186826,family,,,33958,Lactobacillaceae
139,1631,194924,genus,,,35832,Bilophila
13,152,1505652,species,,,36841,Terrisporobacter glycolicus
412,4835,189330,species,,,39486,Dorea formicigenerans
148,1737,31977,genus,,,39948,Dialister
48,563,995019,genus,,,40544,Sutterella
109,1279,204441,family,,,41295,Rhodospirillaceae
6,70,541000,genus,,,44748,Sporobacter
2,23,186827,genus,,,46123,Abiotrophia
4,46,117563,species,,,46124,Granulicatella adiacens
1782,20915,186803,genus,,,46205,Pseudobutyrivibrio
404,4741,375288,species,,,46503,Parabacteroides merdae
925,10856,816,species,,,47678,Bacteroides caccae
2412,28309,203494,order,,,48461,Verrucomicrobiales
515,6044,200644,family,,,49546,Flavobacteriaceae
2532,29718,2,superphylum,,,51290,Chlamydiae/Verrucomicrobia group
8,93,541000,genus,,,52784,Anaerofilum
12,140,128827,genus,,,61170,Holdemania
12,140,61170,species,,,61171,Holdemania filiformis
6,70,131550,phylum,,,65842,Fibrobacteres
16,187,186801,order,,,68295,Thermoanaerobacterales
11879,139424,2,superphylum,,,68336,Bacteroidetes/Chlorobi group
204,2394,1224,subphylum,,,68525,delta/epsilon subdivisions
2422,28427,51290,phylum,fdc536,,74201,Verrucomicrobia
5,58,80840,family,,,75682,Oxalobacteraceae
288,3380,28216,order,,,80840,Burkholderiales
4401,51654,255727,family,,,84107,Coriobacteriaceae
5,58,84107,genus,,,84111,Eggerthella
4413,51795,1760,subclass,,,84998,Coriobacteridae
4413,51795,84998,order,,,84999,Coriobacteriales
137,1607,1760,subclass,,,85003,Actinobacteridae
134,1572,85003,order,,,85004,Bifidobacteriales
3,35,2037,suborder,,,85005,Actinomycineae
7,82,816,species,,,85831,Bacteroides acidifaciens
9,105,543314,genus,,,86331,Mogibacterium
2205,25880,572511,species,,,89014,Blautia luti
780,9154,1239,class,,,91061,Bacilli
296,3474,1236,order,,,91347,Enterobacteriales
10,117,541000,genus,,,100175,Papillibacter
4269,50105,84107,genus,,,102106,Collinsella
4,46,186828,genus,,,117563,Granulicatella
515,6044,976,class,,,117743,Flavobacteriia
25,293,541000,genus,,,119852,Oscillospira
479,5622,526525,family,,,128827,Erysipelotrichaceae
6,70,2,superphylum,,,131550,Fibrobacteres/Acidobacteria group
85531,1003884,1,no_rank,,,131567,cellular organisms
9,105,128827,genus,,,135858,Catenibacterium
